building,floor,roomNum,xOffset,yOffset
charles,ground,12,600,450
charles,ground,14,600,600
charles,ground,17,780,620
charles,ground,27,764,1337
charles,ground,34,550,1300
charles,ground,44,1020,1500
charles,ground,45,1000,1350
charles,1,133,970,1400
charles,1,140,500,1350
chapel,2,201,975,250
chapel,2,202,975,250
simp,1,106,260,1000
simp,1,108,260,1250
simp,1,110,260,1500
simp,1,114,260,2000
simp,1,121,1000,1680
simp,1,120,1000,2000
simp,1,145,1000,350
simp,1,146,1600,300
simp,1,147,1600,550
fortin,1,111,2500,1700
fortin,1,114,2200,1300
fortin,1,115,2500,1150
fortin,1,116,2800,1350
simp,2,212,150,950
simp,2,214,150,1300
simp,2,216,150,1920
simp,2,218,530,2050
simp,2,220,900,2100
simp,2,221,900,1700
simp,2,231,1250,210
simp,2,234,1400,210
fortin,2,211,2350,1850
fortin,2,212,2300,1250
fortin,2,213,2600,1600
fortin,2,214,2600,1020
fortin,2,215,2840,1400
simp,3,312,150,970
simp,3,314,150,1300
simp,3,316,150,2000
simp,3,317,500,1500
simp,3,318,500,2050
simp,3,320,900,2000
simp,3,321,800,1500
simp,3,331,1275,230
ocon,1,101,750,150
ocon,1,102,750,420
ocon,1,106,750,1000
ocon,1,107,750,1350
ocon,1,119,450,800
ocon,1,125,450,1300
simp,4,400,700,1300
simp,4,403,150,1250
simp,4,404,260,1020
simp,4,405,375,1000
simp,4,406,150,1000
simp,4,407,150,700
simp,4,408,150,500
simp,4,416,620,1000
simp,4,417,975,1040
simp,4,418,775,1035
lib,1,122,800,650
lib,1,130,930,1100
lib,2,228,100,1000
lib,2,229,100,700
